"CountyTown","Y104M12","Y105M06","Y105M12","Y106M06","Y106M12","Y104M12_status","Y105M06_status","Y105M12_status","Y106M06_status","Y106M12_status"
"宜蘭縣五結鄉",14.32,14.57,14.83,15.08,15.33,"高齡","高齡","高齡","高齡","高齡"
"宜蘭縣宜蘭市",12.98,13.3,13.61,13.91,14.12,"高齡化","高齡化","高齡化","高齡化","高齡"
"宜蘭縣員山鄉",14.89,15.16,15.41,15.65,15.75,"高齡","高齡","高齡","高齡","高齡"
"宜蘭縣壯圍鄉",14.98,15.19,15.55,15.76,15.84,"高齡","高齡","高齡","高齡","高齡"
"雲林縣褒忠鄉",18.23,18.69,19.17,19.31,19.64,"高齡","高齡","高齡","高齡","高齡"
"雲林縣北港鎮",17.38,17.58,17.92,18.13,18.55,"高齡","高齡","高齡","高齡","高齡"
"雲林縣莿桐鄉",16.12,16.54,16.89,17.11,17.43,"高齡","高齡","高齡","高齡","高齡"
"雲林縣大埤鄉",19.12,19.47,19.87,20.12,20.31,"高齡","高齡","高齡","超高齡","超高齡"
"雲林縣東勢鄉",20.47,20.91,21.34,21.71,21.87,"超高齡","超高齡","超高齡","超高齡","超高齡"
"雲林縣斗六市",12.24,12.51,12.85,13.08,13.36,"高齡化","高齡化","高齡化","高齡化","高齡化"
"雲林縣斗南鎮",15.51,15.84,16.2,16.39,16.67,"高齡","高齡","高齡","高齡","高齡"
"雲林縣二崙鄉",20.49,20.81,21.24,21.52,21.73,"超高齡","超高齡","超高齡","超高齡","超高齡"
"雲林縣古坑鄉",19.21,19.47,19.82,20.09,20.34,"高齡","高齡","高齡","超高齡","超高齡"
"雲林縣虎尾鎮",13.88,14.12,14.43,14.57,14.86,"高齡化","高齡","高齡","高齡","高齡"
"雲林縣口湖鄉",17.82,18.1,18.33,18.53,18.75,"高齡","高齡","高齡","高齡","高齡"
"雲林縣林內鄉",16.47,16.68,17.2,17.34,17.73,"高齡","高齡","高齡","高齡","高齡"
"雲林縣崙背鄉",18.49,18.93,19.49,19.9,20.36,"高齡","高齡","高齡","高齡","超高齡"
"雲林縣麥寮鄉",10.36,10.71,10.81,10.93,11.14,"高齡化","高齡化","高齡化","高齡化","高齡化"
"雲林縣水林鄉",23.23,23.43,23.72,24.05,24.28,"超高齡","超高齡","超高齡","超高齡","超高齡"
"雲林縣四湖鄉",20.55,20.91,21.23,21.37,21.6,"超高齡","超高齡","超高齡","超高齡","超高齡"
"雲林縣臺西鄉",18.13,18.55,18.92,18.94,19.12,"高齡","高齡","高齡","高齡","高齡"
"雲林縣土庫鎮",17.94,18.05,18.41,18.6,18.91,"高齡","高齡","高齡","高齡","高齡"
"雲林縣西螺鎮",16.27,16.52,16.98,17.18,17.35,"高齡","高齡","高齡","高齡","高齡"
